Aug 13 16:58:08.163 [DEBUG] request is{3 ug.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:08.209 [DEBUG] request is{3 ug.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:08.219 [DEBUG] request is{3 finance.pae.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:31.668 [DEBUG] request is{3 edge.microsoft.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:35.163 [DEBUG] request is{3 cn.bing.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:35.808 [DEBUG] request is{3 www.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:35.808 [DEBUG] request is{3 www.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.217 [DEBUG] request is{3 t11.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.218 [DEBUG] request is{3 t9.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.218 [DEBUG] request is{3 ss0.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.229 [DEBUG] request is{3 t15.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.230 [DEBUG] request is{3 t13.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.232 [DEBUG] request is{3 gimg3.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.273 [DEBUG] request is{3 baikebcs.bdimg.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.294 [DEBUG] request is{3 sp1.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.294 [DEBUG] request is{3 sp1.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.309 [DEBUG] request is{3 bkssl.bdimg.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.382 [DEBUG] request is{3 hpd.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.412 [DEBUG] request is{3 ug.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.459 [DEBUG] request is{3 finance.pae.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:59:36.465 [DEBUG] request is{3 ug.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
